Estado,Desemprego_p,Sal_min,Pop,PIB_mi,Em_p,urbano_p,GDPpc,maxbenefit,maxWeeks
Alabama,3.2,7.25,4907965,226896.5,72.2,59,41389,275,26
Alaska,5.5,9.89,733603,49820,76.9,66,74422,370,26
Arizona,4.9,11,7291843,373719,69.2,89.8,44161,240,26
Arkansas,3.5,9.25,3020985,130750.7,75.4,56.2,3958,451,20
California,4.1,12,39437610,3007187.7,70.7,95,70662,450,26
Colorado,2.6,11.1,5758486,382584.7,75.1,86.2,61311,618,26
Connecticut,3.5,10.1,3566022,276422.9,78.2,88,69789,649,26
Delaware,3.7,8.75,976668,75786.5,77.6,83.3,64985,400,26
D.C,5.4,14,708253,144554.8,79.4,100,178442,444,26
Florida,3.2,8.46,21492056,1106035.5,71.7,91.2,44267,275,12
Georgia,3.6,7.25,10628020,622627.8,70,75.1,50816,365,14
Hawaii,2.5,10.1,1415615,82884.6,85.8,91.9,58981,648,26
Idaho,3,7.25,1789060,83821.6,77.3,70.6,40566,448,20
Illinois,4,8.25,12667017,858366.9,76,88.5,61713,484,26
Indiana,3.3,7.25,6731010,375336.7,76.5,72.4,49321,390,26
Iowa,2.6,7.25,3159596,194267.6,81.4,64,55051,481,26
Kansas,3.1,7.25,2912635,175141.8,78.3,74.2,53528,488,16
Kentucky,4.1,7.25,4472345,212539.6,74.9,58.4,42386,552,26
Louisiana,4.6,7.25,4658285,235437.4,72.3,73.2,51729,247,26
Maine,2.8,11,1345770,69271.8,78.9,38.7,43541,445,26
Maryland,3.4,10.1,6054954,410674.7,79.6,87.2,61926,430,26
Massachusetts,3.1,12,6894883,582476.8,82.2,92,75258,823,26
Michigan,4.1,9.45,9984795,515119.9,76.5,74.6,47448,362,20
Minnesota,3.4,9.86,5640053,373739.3,79.3,73.3,60066,740,26
Mississippi,5.4,7.25,2978227,113845.7,71.3,49.4,35015,235,26
Missouri,3.1,8.6,6140475,329367.2,76.5,70.4,47407,320,13
Montana,3.6,8.5,1070123,51508.8,78.6,55.9,44145,552,28
Nebraska,3,9,1932571,133439,80,73.1,59386,440,26
Nevada,4,8.25,3090771,170943.8,66.7,94.2,50043,483,26
New Hampshire,2.6,7.25,1360783,87621,77.8,60.3,57272,427,26
New Jersey,3.4,10,8891258,618579.3,76.3,94.7,63492,713,26
New Mexico,4.9,7.5,2099634,98472.1,70.5,77.4,46304,511,26
New York,3.8,11.1,19463131,1724759.1,76.1,87.9,75131,504,26
North Carolina,3.8,7.25,10501384,589829,74.2,66.1,48496,350,12
North Dakota,2.1,7.25,763724,54854.2,84.4,59.9,70991,618,26
Ohio,4.2,8.55,11696507,677561.2,76.8,77.9,52664,480,26
Oklahoma,3.1,7.25,3960676,188056.6,74.8,66.2,50876,539,26
Oregon,3.7,11.25,4216116,243776.8,74.2,81,52726,648,26
Pennsylvania,4.5,7.25,12798883,771897.9,79.8,78.7,56868,572,26
Rhode Island,3.6,10.5,1058158,60556.3,81.3,90.7,51963,586,26
South Carolina,2.8,7.25,5157702,244881.7,74.3,66.3,41457,326,20
South Dakota,2.8,9.1,887127,54789.4,78.2,56.7,52913,414,26
Tennessee,3.4,7.25,6830325,369574.3,75.1,66.4,4844,275,26
Texas,3.5,7.25,28986794,1775587.8,68.6,84.7,61682,535,26
Utah,2.6,7.25,3203383,197561.9,80.3,90.6,51407,580,26
Vermont,2.3,10.78,624046,33435,83,38.9,48855,513,26
Virginia,2.8,7.25,8556642,549535.8,79.4,75.5,56938,378,26
Washington,4.3,12,7614024,604253.8,75.3,84.1,69761,790,26
West Virginia,4.9,8.75,1795263,75855,78.2,48.7,40265,424,26
Wisconsin,3.2,7.25,5824581,337714,78.9,70.2,52534,370,26
Wyoming,3.7,7.25,580116,36323.5,79,64.8,67915,508,26
